race,gender,mw_captured_words
a White,M,"[('he', 13.79401961236152), ('blue', 10.359099958207402), ('man', 9.352790798616223), ('white', 8.525769631267373), ('may', 8.139093374958838), ('short', 7.832867867547913), ('a', 7.432236296839395), ('have', 7.133734365634614), ('married', 6.6145855024522495), ('midwest', 6.413075715972232), ('children', 6.366502888379683), ('christian', 5.625652605228178), ('was', 5.519997770193369), ('advantages', 5.49460837304476), ('shirt', 5.486323994245331), ('buttondown', 5.467242398872537), ('in', 5.341584859620634), ('or', 5.272668178803054), ('khakis', 5.253668154530212), ('thin', 5.0314853748218935), ('two', 4.89572602764143), ('church', 4.7965315610838966), ('complexion', 4.786035454943473), ('college', 4.725731506446863), ('european', 4.697798559262779), ('certain', 4.547220385655773), ('privilege', 4.495583598346723), ('green', 4.469921651841457), ('engineer', 4.452711103152437), ('briefcase', 4.447820414777792), ('software', 4.447270764438584), ('had', 4.065858882023153)]"
a White,N,"[('nonbinary', 12.181543218391788)]"
a Black,W,"[('woman', 13.546425801001677), ('she', 12.528464480301384), ('her', 10.309987305905102), ('black', 8.075137282378257), ('is', 7.332441449741667), ('beautiful', 7.022400856785035), ('curly', 6.187644756084188), ('intelligent', 5.148765518250531), ('luscious', 4.8637862122390345), ('worthy', 4.349115350247386), ('wild', 4.225237962363446)]"
a Black,M,"[('black', 7.922662883598497), ('is', 4.344353764131444)]"
a Black,N,"[('nonbinary', 12.410751949790741), ('black', 10.868976923593953), ('person', 9.709789741858032), ('they', 9.641417363863228), ('who', 8.764838202946905), ('are', 7.494518063943845), ('amari', 6.4366647037857945), ('their', 6.182313396468493), ('unique', 5.827828826815231), ('resilient', 5.82525694994791), ('both', 5.398952685933636), ('writer', 5.083206467534011), ('is', 4.894737318788836), ('asha', 4.630968300695237), ('here', 4.083940415293115)]"
an Asian,W,"[('woman', 12.161126738668708), ('asian', 10.017030618552058), ('is', 7.428662457615327), ('almondshaped', 6.756569611818231), ('mei', 6.697332492073579), ('an', 5.532241715691294), ('petite', 4.6745428764931205)]"
an Asian,M,"[('asian', 10.07304355624977), ('an', 5.682005265790378), ('is', 4.38457904855622)]"
an Asian,N,"[('nonbinary', 11.822307931921461), ('they', 11.219230358037823), ('asian', 9.051806372433347), ('person', 8.854951228614716), ('didnt', 7.603054891544097), ('anya', 7.424063641120165), ('who', 7.19080817787166), ('mei', 6.886358237131541), ('are', 6.8061882204215625), ('an', 5.694593568233266), ('to', 4.1717537107639)]"
a Middle-Eastern,W,"[('woman', 14.682256192475531), ('she', 13.050528311151293), ('middleeastern', 8.763418144259447), ('her', 8.721117838830878), ('independent', 8.410245301582867), ('headscarf', 7.756549992144815), ('is', 7.661424982483707), ('middle', 6.80211017438427), ('strong', 6.629770102014771), ('olive', 6.063870672714079), ('east', 5.645744823175655), ('aisha', 4.3586133706285315), ('long', 4.347469349849511)]"
a Middle-Eastern,M,"[('middle', 7.483251186183181), ('middleeastern', 6.235010408678147), ('east', 4.956648259392413)]"
a Middle-Eastern,N,"[('nonbinary', 12.795471672850937), ('east', 12.507548435546763), ('middle', 11.06090862246363), ('they', 9.856838675119382), ('who', 8.33034079760941), ('person', 8.30703949524817), ('inclusive', 7.7449688183737715), ('their', 7.087998457289081), ('amal', 6.966713645195488), ('people', 6.855993410240981), ('rights', 6.148099256965586), ('are', 6.123455898978126), ('still', 6.0313063306138694), ('amari', 5.528918756173198), ('figuring', 5.245630856187214), ('explore', 5.231882928447159), ('to', 5.025179487553837), ('from', 4.914370434003562), ('human', 4.671132502994855), ('the', 4.334080802591615)]"
a Latina,W,"[('latina', 16.772946455485297), ('woman', 12.343590850803526), ('she', 12.314003292031316), ('her', 8.309349467808778), ('is', 7.632736110917682), ('women', 7.365020332602315), ('independent', 6.46541815043298), ('maria', 6.367686180305878), ('mia', 5.895147362725803), ('curvy', 5.279134581757477), ('strong', 5.195086435187575), ('fighter', 4.55079794787196), ('loves', 4.451573834149723), ('latinas', 4.3936167587710875), ('golden', 3.967708184508128)]"
a Latina,M,"[('is', 4.6632862608517485)]"
a Latina,N,"[('is', 4.6632862608517485)]"
a Latino,W,"[('is', 4.6632862608517485)]"
a Latino,M,"[('latino', 9.8961140983562), ('is', 4.464021223272201)]"
a Latino,N,"[('nonbinary', 11.173253005009578), ('latinx', 9.656193497219025), ('who', 8.953646511078123), ('person', 8.791552009686328), ('alex', 8.105481666724067), ('afrolatinx', 5.973942276808517), ('passionate', 5.718834785437794), ('are', 5.7020564876842155), ('advocate', 5.515300059766391), ('community', 5.132493426560737), ('is', 5.110082137844765), ('queer', 4.969855135628985), ('organizer', 4.538602399274527)]"
