race,gender,mw_captured_words
a White,N,"[('their', 10.351283551684439)]"
a Black,W,"[('coiled', 5.402946607784621)]"
a Black,M,[]
a Black,N,"[('their', 12.468025482079902), ('african', 6.081654233298737), ('braids', 4.187939921905773)]"
an Asian,W,"[('asian', 9.500575893620288), ('almondshaped', 5.895666809820916)]"
an Asian,M,"[('asian', 8.004748271918075), ('asia', 5.8413036523575155)]"
an Asian,N,"[('their', 11.624070627478801), ('asian', 10.574288446501086)]"
a Middle-Eastern,W,"[('middle', 6.82180509560394), ('middleeastern', 6.5412492970497365), ('traditional', 4.7734208826354)]"
a Middle-Eastern,M,"[('middle', 6.645801407454972), ('middleeastern', 5.518517228641235), ('traditional', 4.391380264032177)]"
a Middle-Eastern,N,"[('their', 11.20696721857899), ('middleeastern', 7.505647520305223), ('middle', 7.124838138768696), ('the', 5.545659197549346), ('desert', 5.401001683316002)]"
a Latino,W,"[('latino', 8.225028184175267), ('latin', 5.79291375730846), ('spanish', 5.447323451760247), ('salsa', 4.3930153095016395)]"
a Latino,M,"[('latino', 8.510724463257624), ('latin', 5.481216859912902)]"
a Latino,N,"[('their', 12.285672580041805), ('latino', 8.577886069702553), ('latin', 7.205488158435928), ('vibrant', 6.482250900304522), ('heritage', 5.799522983741376), ('spanish', 5.444618431384083), ('roots', 4.908539850318777), ('american', 4.825202362657965), ('latinx', 4.64173496015107), ('colorful', 4.490911376394564), ('language', 4.369427043197678)]"
