race,gender,mw_captured_words
a White,N,"[('nonbinary', 9.161467232234598)]"
a Black,W,"[('that', 4.642741033534598)]"
a Black,M,"[('that', 4.440465406413181)]"
a Black,N,"[('nonbinary', 8.951256182944086), ('zephyr', 6.759103599682074), ('radiant', 6.042660906208749), ('bold', 6.0334727961576515), ('beautiful', 5.2438092847867965), ('vibrant', 5.134281766900415), ('braids', 5.026545523482898), ('both', 4.878097117468882), ('curls', 4.778811833427958), ('glad', 4.759453638546036), ('afro', 4.750151278967246), ('that', 4.605368775974174), ('stunning', 4.521345158584742), ('beads', 4.328868700873195)]"
an Asian,W,"[('asian', 9.416265247614131)]"
an Asian,M,"[('asian', 9.17514190504027)]"
an Asian,N,"[('their', 11.54537630201483), ('asian', 8.867654044821053), ('jae', 6.451431541090428), ('korean', 6.15070557474326), ('blend', 5.540152241079548), ('theythem', 5.337359639894255), ('chinese', 4.500052665233737)]"
a Middle-Eastern,W,"[('middle', 6.079902005559872), ('east', 5.781637613518981)]"
a Middle-Eastern,M,"[('middleeastern', 6.021349662947653), ('middle', 5.787177740016172)]"
a Middle-Eastern,N,"[('their', 10.32543946744647), ('amirah', 9.55778421263098), ('amirs', 6.608579855187747), ('middle', 6.1792173720356764), ('waves', 5.981510519598485), ('persian', 5.972839738454667), ('amir', 5.679142554436846), ('iran', 5.414376495302388), ('meet', 4.984613606965345), ('amirahs', 4.880378104980732), ('adorned', 4.775078290172792), ('vibrant', 4.747515724606482), ('didnt', 4.686971213890503), ('henna', 4.226432292086842), ('tehran', 4.211006994530518)]"
a Latino,W,"[('latino', 7.889922830038097)]"
a Latino,M,"[('latino', 8.854343990888653)]"
a Latino,N,"[('latinx', 9.617868436505923), ('latin', 7.716838438144631), ('jamie', 6.985670933504471), ('vibrant', 6.767178851521937), ('jamies', 6.400186973399986), ('american', 6.3648301976861745), ('alex', 6.113086301404628), ('fusion', 6.036368393600817), ('waves', 5.965384788270256), ('beautiful', 5.64524534050028), ('blend', 5.42572396608279), ('abuelas', 4.913067611292462), ('flair', 4.7993512683210575), ('salsa', 4.320526727654649)]"
