race,gender,mw_captured_words
a White,N,"[('their', 10.31407721099041), ('traditional', 4.63312492687224)]"
a Black,W,[]
a Black,M,[]
a Black,N,"[('their', 12.144211709284985), ('bold', 7.216654558886772), ('patterns', 5.494728240773512), ('unique', 5.4882517369077135), ('braids', 5.0776221189921396), ('curls', 5.028265462790729), ('vibrant', 4.768290058391787), ('traditional', 4.72704753340205), ('blend', 4.580114462864325), ('that', 4.525515888326928), ('intersectionality', 4.424070682602778), ('prints', 4.120088894677117), ('intricate', 4.094123379097157)]"
an Asian,W,"[('asian', 7.943774779193449), ('almondshaped', 6.174506177949402)]"
an Asian,M,"[('asian', 7.442001315145362), ('almondshaped', 5.794283855994778)]"
an Asian,N,"[('their', 10.829177699948065), ('asian', 10.104295669292188), ('traditional', 6.580557260796482), ('contemporary', 6.093476172155835), ('blend', 5.590263440032075), ('modern', 5.1547214702099655), ('sleek', 4.899025612321719), ('kai', 4.642665477482329)]"
a Middle-Eastern,W,"[('middle', 6.929135158493123)]"
a Middle-Eastern,M,"[('middleeastern', 6.470285400240314), ('middle', 5.9510463416039)]"
a Middle-Eastern,N,"[('their', 11.736974144079818), ('middleeastern', 6.520122070144469), ('contemporary', 6.402368711669652), ('traditional', 6.355013202918769), ('flowing', 6.302021643332022), ('samira', 5.940950975744384), ('intricate', 5.935409453602779), ('loose', 5.263177496121546), ('blend', 5.215643488230578), ('tunic', 5.135739746825936), ('garments', 4.996418520247241), ('modern', 4.996087709802328)]"
a Latino,W,"[('latino', 7.730148577579077), ('alejandro', 4.881074251793429)]"
a Latino,M,"[('latino', 8.25073271907367), ('vibrant', 4.183342101523648)]"
a Latino,N,"[('their', 12.743485848183768), ('alex', 7.805837609473045), ('latino', 7.670324787188282), ('they', 7.526900545754987), ('traditional', 6.6191580545935835), ('vibrant', 6.397137521606057), ('latin', 5.374548387642868), ('american', 5.253572850946261), ('colorful', 5.077371132383973), ('patterns', 4.921611129220304), ('genderneutral', 4.9130982113738195), ('contemporary', 4.309324934949327), ('embroidered', 4.2980864547148)]"
